est,err,est_card,true_card,query_dur_ms
FT-census_12.171,34.0,1,34,33.37693214416504
FT-census_12.171,16.0,1,16,32.63068199157715
FT-census_12.171,15.0,8,120,30.29799461364746
FT-census_12.171,3.0,1,3,28.481245040893555
FT-census_12.171,1.0,1,1,28.304576873779297
FT-census_12.171,1.3738938053097345,904,1242,27.2066593170166
FT-census_12.171,1.0,1,1,27.950525283813477
FT-census_12.171,1.0,1,1,27.64582633972168
FT-census_12.171,1.7969312369767,9486,5279,27.887821197509766
FT-census_12.171,7.666666666666667,1288,168,28.01370620727539
FT-census_12.171,3.0385852090032155,311,945,27.947664260864258
FT-census_12.171,2.0,2,1,27.877330780029297
FT-census_12.171,6.0,2250,375,27.76479721069336
FT-census_12.171,1.702127659574468,240,141,27.93717384338379
FT-census_12.171,1.1573033707865168,89,103,27.49776840209961
FT-census_12.171,1.0,1,1,28.28216552734375
FT-census_12.171,11.793103448275861,29,342,28.006792068481445
FT-census_12.171,1.0,1,1,28.539419174194336
FT-census_12.171,1.0696517412935322,860,804,27.369022369384766
FT-census_12.171,7.578947368421052,19,144,27.980804443359375
FT-census_12.171,1.0065359477124183,308,306,28.647422790527344
FT-census_12.171,17.25,4,69,28.827428817749023
FT-census_12.171,1.0,1,1,28.188228607177734
FT-census_12.171,1.0,1,1,28.974294662475586
FT-census_12.171,2.1693121693121693,4100,1890,28.2137393951416
FT-census_12.171,15.0,1,15,28.165340423583984
FT-census_12.171,1.3195876288659794,128,97,27.982234954833984
FT-census_12.171,1.0298313878080414,9252,9528,28.584957122802734
FT-census_12.171,5.0,1,5,28.740882873535156
FT-census_12.171,7.009615384615385,104,729,28.031110763549805
FT-census_12.171,23.0,1,23,28.407812118530273
FT-census_12.171,1.0,1,1,28.330087661743164
FT-census_12.171,4.399548532731377,443,1949,27.85634994506836
FT-census_12.171,1.3333333333333333,16,12,28.191089630126953
FT-census_12.171,1.283327408460718,2813,3610,27.751922607421875
FT-census_12.171,2.4602076124567476,711,289,29.047489166259766
FT-census_12.171,1.256926952141058,397,499,28.67269515991211
FT-census_12.171,2.278985507246377,276,629,28.00917625427246
FT-census_12.171,1.8823529411764706,17,32,28.59210968017578
